ecurr = -12.35, pn_right = 1.177818605e+23, pn_left = -7.467478963e+22, f = 4.464619059
ecurr = -12.34, pn_right = 1.134202372e+23, pn_left = -7.142431855e+22, f = 4.401488567
ecurr = -12.33, pn_right = 1.092007445e+23, pn_left = -6.828618006e+22, f = 4.337988854
ecurr = -12.32, pn_right = 1.051191544e+23, pn_left = -6.525698579e+22, f = 4.274131237
ecurr = -12.31, pn_right = 1.011713552e+23, pn_left = -6.233343845e+22, f = 4.20992698
ecurr = -12.3, pn_right = 9.735334843e+22, pn_left = -5.951232968e+22, f = 4.145387289
ecurr = -12.29, pn_right = 9.366124597e+22, pn_left = -5.679053792e+22, f = 4.080523317
ecurr = -12.28, pn_right = 9.009126735e+22, pn_left = -5.416502638e+22, f = 4.015346159
ecurr = -12.27, pn_right = 8.663973696e+22, pn_left = -5.163284101e+22, f = 3.949866854
ecurr = -12.26, pn_right = 8.330308129e+22, pn_left = -4.919110856e+22, f = 3.884096381
ecurr = -12.25, pn_right = 8.007782639e+22, pn_left = -4.683703458e+22, f = 3.818045661
ecurr = -12.24, pn_right = 7.696059528e+22, pn_left = -4.456790155e+22, f = 3.751725554
ecurr = -12.23, pn_right = 7.394810544e+22, pn_left = -4.238106704e+22, f = 3.685146861
ecurr = -12.22, pn_right = 7.103716636e+22, pn_left = -4.02739618e+22, f = 3.61832032
ecurr = -12.21, pn_right = 6.82246772e+22, pn_left = -3.824408806e+22, f = 3.551256607
ecurr = -12.2, pn_right = 6.550762441e+22, pn_left = -3.628901771e+22, f = 3.483966337
ecurr = -12.19, pn_right = 6.288307949e+22, pn_left = -3.440639062e+22, f = 3.416460059
ecurr = -12.18, pn_right = 6.034819677e+22, pn_left = -3.259391293e+22, f = 3.348748259
ecurr = -12.17, pn_right = 5.790021121e+22, pn_left = -3.084935538e+22, f = 3.280841359
ecurr = -12.16, pn_right = 5.553643633e+22, pn_left = -2.917055176e+22, f = 3.212749714
ecurr = -12.15, pn_right = 5.325426213e+22, pn_left = -2.755539728e+22, f = 3.144483613
ecurr = -12.14, pn_right = 5.105115306e+22, pn_left = -2.6001847e+22, f = 3.076053279
ecurr = -12.13, pn_right = 4.892464609e+22, pn_left = -2.450791438e+22, f = 3.007468868
ecurr = -12.12, pn_right = 4.687234874e+22, pn_left = -2.307166975e+22, f = 2.938740467
ecurr = -12.11, pn_right = 4.489193727e+22, pn_left = -2.169123887e+22, f = 2.869878095
ecurr = -12.1, pn_right = 4.298115482e+22, pn_left = -2.036480151e+22, f = 2.800891703
ecurr = -12.09, pn_right = 4.113780962e+22, pn_left = -1.909059007e+22, f = 2.73179117
ecurr = -12.08, pn_right = 3.935977329e+22, pn_left = -1.786688822e+22, f = 2.662586308
ecurr = -12.07, pn_right = 3.764497911e+22, pn_left = -1.669202957e+22, f = 2.593286857
ecurr = -12.06, pn_right = 3.599142038e+22, pn_left = -1.556439635e+22, f = 2.523902486
ecurr = -12.05, pn_right = 3.439714882e+22, pn_left = -1.44824182e+22, f = 2.454442793
ecurr = -12.04, pn_right = 3.286027296e+22, pn_left = -1.344457088e+22, f = 2.384917303
