ecurr = -5.35, pn_right = -5.194112769e+13, pn_left = 2.282021162e+13, f = 2.567272923
ecurr = -5.34, pn_right = -4.961778858e+13, pn_left = 2.162074231e+13, f = 2.544501666
ecurr = -5.33, pn_right = -4.739387526e+13, pn_left = 2.047790554e+13, f = 2.52161752
ecurr = -5.32, pn_right = -4.526530351e+13, pn_left = 1.938922748e+13, f = 2.498621928
ecurr = -5.31, pn_right = -4.322815048e+13, pn_left = 1.835233564e+13, f = 2.47551634
ecurr = -5.3, pn_right = -4.127864857e+13, pn_left = 1.736495496e+13, f = 2.452302203
ecurr = -5.29, pn_right = -3.941317946e+13, pn_left = 1.642490405e+13, f = 2.42898097
ecurr = -5.28, pn_right = -3.762826849e+13, pn_left = 1.553009154e+13, f = 2.405554093
ecurr = -5.27, pn_right = -3.592057909e+13, pn_left = 1.467851256e+13, f = 2.382023029
ecurr = -5.26, pn_right = -3.428690757e+13, pn_left = 1.386824542e+13, f = 2.358389233
ecurr = -5.25, pn_right = -3.272417798e+13, pn_left = 1.309744828e+13, f = 2.334654166
ecurr = -5.24, pn_right = -3.12294372e+13, pn_left = 1.236435609e+13, f = 2.310819287
ecurr = -5.23, pn_right = -2.979985028e+13, pn_left = 1.166727753e+13, f = 2.286886058
ecurr = -5.22, pn_right = -2.843269582e+13, pn_left = 1.100459215e+13, f = 2.262855943
ecurr = -5.21, pn_right = -2.712536162e+13, pn_left = 1.037474751e+13, f = 2.238730407
ecurr = -5.2, pn_right = -2.587534049e+13, pn_left = 9.776256573e+12, f = 2.214510916
ecurr = -5.19, pn_right = -2.468022614e+13, pn_left = 9.207695038e+12, f = 2.190198937
ecurr = -5.18, pn_right = -2.353770932e+13, pn_left = 8.667698897e+12, f = 2.165795941
ecurr = -5.17, pn_right = -2.244557402e+13, pn_left = 8.15496201e+12, f = 2.141303396
ecurr = -5.16, pn_right = -2.140169388e+13, pn_left = 7.668233809e+12, f = 2.116722773
ecurr = -5.15, pn_right = -2.040402867e+13, pn_left = 7.206317068e+12, f = 2.092055545
ecurr = -5.14, pn_right = -1.945062095e+13, pn_left = 6.768065767e+12, f = 2.067303185
ecurr = -5.13, pn_right = -1.853959286e+13, pn_left = 6.352383036e+12, f = 2.042467165
ecurr = -5.12, pn_right = -1.766914297e+13, pn_left = 5.958219171e+12, f = 2.017548961
ecurr = -5.11, pn_right = -1.683754333e+13, pn_left = 5.584569736e+12, f = 1.992550047
ecurr = -5.1, pn_right = -1.604313655e+13, pn_left = 5.230473724e+12, f = 1.9674719
ecurr = -5.09, pn_right = -1.528433307e+13, pn_left = 4.895011803e+12, f = 1.942315995
ecurr = -5.08, pn_right = -1.455960844e+13, pn_left = 4.577304614e+12, f = 1.91708381
ecurr = -5.07, pn_right = -1.386750083e+13, pn_left = 4.276511147e+12, f = 1.891776821
ecurr = -5.06, pn_right = -1.320660849e+13, pn_left = 3.991827172e+12, f = 1.866396506
ecurr = -5.05, pn_right = -1.257558742e+13, pn_left = 3.722483733e+12, f = 1.840944343
ecurr = -5.04, pn_right = -1.197314906e+13, pn_left = 3.467745699e+12, f = 1.81542181
ecurr = -5.03, pn_right = -1.139805811e+13, pn_left = 3.226910375e+12, f = 1.789830384
ecurr = -5.02, pn_right = -1.08491304e+13, pn_left = 2.999306156e+12, f = 1.764171544
ecurr = -5.01, pn_right = -1.03252309e+13, pn_left = 2.784291252e+12, f = 1.738446767
ecurr = -5, pn_right = -9.825271691e+12, pn_left = 2.58125244e+12, f = 1.712657532
ecurr = -4.99, pn_right = -9.348210148e+12, pn_left = 2.389603887e+12, f = 1.686805316
ecurr = -4.98, pn_right = -8.893047105e+12, pn_left = 2.208785999e+12, f = 1.660891597
ecurr = -4.97, pn_right = -8.458825121e+12, pn_left = 2.038264332e+12, f = 1.634917852
ecurr = -4.96, pn_right = -8.044626806e+12, pn_left = 1.877528535e+12, f = 1.608885558
ecurr = -4.95, pn_right = -7.649573217e+12, pn_left = 1.726091337e+12, f = 1.58279619
ecurr = -4.94, pn_right = -7.272822309e+12, pn_left = 1.583487577e+12, f = 1.556651226
ecurr = -4.93, pn_right = -6.913567452e+12, pn_left = 1.44927327e+12, f = 1.53045214
ecurr = -4.92, pn_right = -6.571036e+12, pn_left = 1.323024711e+12, f = 1.504200406
ecurr = -4.91, pn_right = -6.244487918e+12, pn_left = 1.204337613e+12, f = 1.477897499
