ecurr = -0.0675, pn_right = 0.009724183331, pn_left = 0.003632549079, f = 0.4560721938
ecurr = -0.06875, pn_right = 0.0101515976, pn_left = 0.003847353502, f = 0.4503368898
ecurr = -0.07, pn_right = 0.01059366826, pn_left = 0.004072562691, f = 0.4446340435
ecurr = -0.07125, pn_right = 0.01105079576, pn_left = 0.004308595175, f = 0.4389627567
ecurr = -0.0725, pn_right = 0.01152338949, pn_left = 0.00455588384, f = 0.4333221724
ecurr = -0.07375, pn_right = 0.01201186795, pn_left = 0.004814876361, f = 0.4277114728
ecurr = -0.075, pn_right = 0.01251665893, pn_left = 0.005086035649, f = 0.4221298762
ecurr = -0.07625, pn_right = 0.01303819966, pn_left = 0.005369840308, f = 0.4165766353
ecurr = -0.0775, pn_right = 0.013576937, pn_left = 0.00566678511, f = 0.4110510348
ecurr = -0.07875, pn_right = 0.0141333276, pn_left = 0.005977381479, f = 0.4055523895
ecurr = -0.08, pn_right = 0.01470783812, pn_left = 0.006302157984, f = 0.4000800427
ecurr = -0.08125, pn_right = 0.01530094538, pn_left = 0.006641660858, f = 0.3946333643
ecurr = -0.0825, pn_right = 0.01591313655, pn_left = 0.00699645452, f = 0.3892117498
ecurr = -0.08375, pn_right = 0.01654490934, pn_left = 0.007367122115, f = 0.3838146182
ecurr = -0.085, pn_right = 0.01719677221, pn_left = 0.007754266071, f = 0.3784414112
ecurr = -0.08625, pn_right = 0.01786924454, pn_left = 0.008158508667, f = 0.3730915918
ecurr = -0.0875, pn_right = 0.01856285686, pn_left = 0.008580492624, f = 0.3677646432
ecurr = -0.08875, pn_right = 0.01927815101, pn_left = 0.009020881701, f = 0.3624600677
ecurr = -0.09, pn_right = 0.02001568038, pn_left = 0.009480361319, f = 0.3571773857
ecurr = -0.09125, pn_right = 0.02077601011, pn_left = 0.009959639195, f = 0.3519161351
ecurr = -0.0925, pn_right = 0.02155971727, pn_left = 0.01045944599, f = 0.3466758698
ecurr = -0.09375, pn_right = 0.02236739113, pn_left = 0.010980536, f = 0.3414561596
ecurr = -0.095, pn_right = 0.02319963333, pn_left = 0.01152368781, f = 0.336256589
ecurr = -0.09625, pn_right = 0.02405705814, pn_left = 0.01208970503, f = 0.3310767564
ecurr = -0.0975, pn_right = 0.02494029263, pn_left = 0.01267941703, f = 0.325916274
