ecurr = -8.405, pn_right = -4.162169921e+18, pn_left = -4.098179141e+18, f = 0.007746740427
ecurr = -8.40625, pn_right = -4.178111387e+18, pn_left = -4.153925275e+18, f = 0.002902785163
ecurr = -8.4075, pn_right = -4.194111529e+18, pn_left = -4.210435671e+18, f = -0.001942298783
ecurr = -8.40875, pn_right = -4.210170551e+18, pn_left = -4.267722784e+18, f = -0.006788506425
ecurr = -8.408125, pn_right = -4.202133667e+18, pn_left = -4.238981349e+18, f = -0.004365262454
ecurr = -8.4075, pn_right = -4.194111529e+18, pn_left = -4.210435671e+18, f = -0.001942298783
ecurr = -8.406875, pn_right = -4.186104111e+18, pn_left = -4.182084167e+18, f = 0.0004803839636
ecurr = -8.40625, pn_right = -4.178111387e+18, pn_left = -4.153925275e+18, f = 0.002902785163
ecurr = -8.4065625, pn_right = -4.182105914e+18, pn_left = -4.167980742e+18, f = 0.001691619796
ecurr = -8.406875, pn_right = -4.186104111e+18, pn_left = -4.182084167e+18, f = 0.0004803839636
ecurr = -8.4071875, pn_right = -4.190105981e+18, pn_left = -4.196235745e+18, f = -0.0007309222553
ecurr = -8.40703125, pn_right = -4.188104587e+18, pn_left = -4.189153925e+18, f = -0.0001252603524
ecurr = -8.406875, pn_right = -4.186104111e+18, pn_left = -4.182084167e+18, f = 0.0004803839636
ecurr = -8.406953125, pn_right = -4.187104234e+18, pn_left = -4.18561754e+18, f = 0.0001775640046
ecurr = -8.40703125, pn_right = -4.188104587e+18, pn_left = -4.189153925e+18, f = -0.0001252603524
ecurr = -8.407109375, pn_right = -4.189105169e+18, pn_left = -4.192693326e+18, f = -0.0004280891061
ecurr = -8.407070313, pn_right = -4.188604849e+18, pn_left = -4.190923248e+18, f = -0.0002766741797
ecurr = -8.40703125, pn_right = -4.188104587e+18, pn_left = -4.189153925e+18, f = -0.0001252603524
ecurr = -8.406992188, pn_right = -4.187604382e+18, pn_left = -4.187385356e+18, f = 2.615237577e-05
ecurr = -8.406953125, pn_right = -4.187104234e+18, pn_left = -4.18561754e+18, f = 0.0001775640046
ecurr = -8.406972656, pn_right = -4.187354301e+18, pn_left = -4.186501354e+18, f = 0.0001018583276
ecurr = -8.406992188, pn_right = -4.187604382e+18, pn_left = -4.187385356e+18, f = 2.615237577e-05
ecurr = -8.407011719, pn_right = -4.187854477e+18, pn_left = -4.188269546e+18, f = -4.95538509e-05
ecurr = -8.407001953, pn_right = -4.187729428e+18, pn_left = -4.187827427e+18, f = -1.17007032e-05
ecurr = -8.406992188, pn_right = -4.187604382e+18, pn_left = -4.187385356e+18, f = 2.615237577e-05
ecurr = -8.40699707, pn_right = -4.187666904e+18, pn_left = -4.187606386e+18, f = 7.225844875e-06
ecurr = -8.407001953, pn_right = -4.187729428e+18, pn_left = -4.187827427e+18, f = -1.17007032e-05
ecurr = -8.406999512, pn_right = -4.187698166e+18, pn_left = -4.187716905e+18, f = -2.237427018e-06
ecurr = -8.40699707, pn_right = -4.187666904e+18, pn_left = -4.187606386e+18, f = 7.225844884e-06
ecurr = -8.406998291, pn_right = -4.187682535e+18, pn_left = -4.187661645e+18, f = 2.494209474e-06
ecurr = -8.406999512, pn_right = -4.187698166e+18, pn_left = -4.187716905e+18, f = -2.237427005e-06
ecurr = -8.407000732, pn_right = -4.187713797e+18, pn_left = -4.187772166e+18, f = -6.969064557e-06
ecurr = -8.407000122, pn_right = -4.187705981e+18, pn_left = -4.187744535e+18, f = -4.603245642e-06
ecurr = -8.406999512, pn_right = -4.187698166e+18, pn_left = -4.187716905e+18, f = -2.237426996e-06
ecurr = -8.406998901, pn_right = -4.18769035e+18, pn_left = -4.187689275e+18, f = 1.283913769e-07
it = 98, e = -8.4069989, de = 6.10351563e-07, f = -2.237427e-06
Normalizing...
norm = 1.09204665e+37
<T> = 6.5023045
