ecurr = -10, pn_right = -3.293751768e+20, pn_left = 4.913524784e+20, f = -5.06693004
ecurr = -9.99, pn_right = -3.21684086e+20, pn_left = 4.803271495e+20, f = -5.055444706
ecurr = -9.98, pn_right = -3.14152938e+20, pn_left = 4.695380886e+20, f = -5.043538737
ecurr = -9.97, pn_right = -3.06779077e+20, pn_left = 4.589808775e+20, f = -5.031214822
ecurr = -9.96, pn_right = -2.995598663e+20, pn_left = 4.486511591e+20, f = -5.01847567
ecurr = -9.95, pn_right = -2.924926891e+20, pn_left = 4.38544638e+20, f = -5.005324013
ecurr = -9.94, pn_right = -2.855749492e+20, pn_left = 4.286570799e+20, f = -4.991762601
ecurr = -9.93, pn_right = -2.788040724e+20, pn_left = 4.18984312e+20, f = -4.977794208
ecurr = -9.92, pn_right = -2.721775072e+20, pn_left = 4.095222225e+20, f = -4.963421626
ecurr = -9.91, pn_right = -2.656927254e+20, pn_left = 4.002667607e+20, f = -4.948647667
ecurr = -9.9, pn_right = -2.593472227e+20, pn_left = 3.91213937e+20, f = -4.933475163
ecurr = -9.89, pn_right = -2.5313852e+20, pn_left = 3.823598223e+20, f = -4.917906965
ecurr = -9.88, pn_right = -2.470641634e+20, pn_left = 3.73700548e+20, f = -4.901945941
ecurr = -9.87, pn_right = -2.411217249e+20, pn_left = 3.652323057e+20, f = -4.88559498
ecurr = -9.86, pn_right = -2.353088029e+20, pn_left = 3.569513469e+20, f = -4.868856987
ecurr = -9.85, pn_right = -2.296230231e+20, pn_left = 3.488539826e+20, f = -4.851734884
ecurr = -9.84, pn_right = -2.240620381e+20, pn_left = 3.409365833e+20, f = -4.834231613
ecurr = -9.83, pn_right = -2.186235284e+20, pn_left = 3.331955782e+20, f = -4.81635013
ecurr = -9.82, pn_right = -2.133052026e+20, pn_left = 3.256274547e+20, f = -4.798093409
ecurr = -9.81, pn_right = -2.081047976e+20, pn_left = 3.182287588e+20, f = -4.779464439
ecurr = -9.8, pn_right = -2.030200788e+20, pn_left = 3.109960938e+20, f = -4.760466225
ecurr = -9.79, pn_right = -1.980488404e+20, pn_left = 3.039261202e+20, f = -4.741101789
ecurr = -9.78, pn_right = -1.931889058e+20, pn_left = 2.970155554e+20, f = -4.721374166
ecurr = -9.77, pn_right = -1.884381273e+20, pn_left = 2.902611729e+20, f = -4.701286407
ecurr = -9.76, pn_right = -1.837943867e+20, pn_left = 2.836598022e+20, f = -4.680841576
ecurr = -9.75, pn_right = -1.792555949e+20, pn_left = 2.772083277e+20, f = -4.660042752
ecurr = -9.74, pn_right = -1.748196924e+20, pn_left = 2.709036888e+20, f = -4.638893027
ecurr = -9.73, pn_right = -1.704846491e+20, pn_left = 2.647428793e+20, f = -4.617395508
ecurr = -9.72, pn_right = -1.662484645e+20, pn_left = 2.587229463e+20, f = -4.595553312
ecurr = -9.71, pn_right = -1.621091675e+20, pn_left = 2.528409903e+20, f = -4.573369572
ecurr = -9.7, pn_right = -1.580648163e+20, pn_left = 2.470941646e+20, f = -4.55084743
ecurr = -9.69, pn_right = -1.541134986e+20, pn_left = 2.414796741e+20, f = -4.527990042
ecurr = -9.68, pn_right = -1.502533315e+20, pn_left = 2.359947757e+20, f = -4.504800575
ecurr = -9.67, pn_right = -1.464824612e+20, pn_left = 2.30636777e+20, f = -4.481282208
ecurr = -9.66, pn_right = -1.42799063e+20, pn_left = 2.25403036e+20, f = -4.457438129
ecurr = -9.65, pn_right = -1.392013413e+20, pn_left = 2.202909607e+20, f = -4.433271539
ecurr = -9.64, pn_right = -1.356875291e+20, pn_left = 2.152980082e+20, f = -4.408785647
ecurr = -9.63, pn_right = -1.322558885e+20, pn_left = 2.104216844e+20, f = -4.383983673
ecurr = -9.62, pn_right = -1.289047097e+20, pn_left = 2.056595433e+20, f = -4.358868848
ecurr = -9.61, pn_right = -1.256323115e+20, pn_left = 2.010091866e+20, f = -4.33344441
ecurr = -9.6, pn_right = -1.224370406e+20, pn_left = 1.964682629e+20, f = -4.307713607
ecurr = -9.59, pn_right = -1.193172719e+20, pn_left = 1.920344673e+20, f = -4.281679696
ecurr = -9.58, pn_right = -1.162714077e+20, pn_left = 1.877055409e+20, f = -4.255345941
ecurr = -9.57, pn_right = -1.132978781e+20, pn_left = 1.834792701e+20, f = -4.228715616
ecurr = -9.56, pn_right = -1.103951402e+20, pn_left = 1.793534861e+20, f = -4.201792001
ecurr = -9.55, pn_right = -1.075616781e+20, pn_left = 1.753260645e+20, f = -4.174578384
ecurr = -9.54, pn_right = -1.047960028e+20, pn_left = 1.713949247e+20, f = -4.14707806
ecurr = -9.53, pn_right = -1.020966517e+20, pn_left = 1.675580292e+20, f = -4.119294331
ecurr = -9.52, pn_right = -9.946218844e+19, pn_left = 1.638133834e+20, f = -4.091230506
ecurr = -9.51, pn_right = -9.689120245e+19, pn_left = 1.601590349e+20, f = -4.062889898
ecurr = -9.5, pn_right = -9.438230898e+19, pn_left = 1.565930731e+20, f = -4.034275829
ecurr = -9.49, pn_right = -9.193414858e+19, pn_left = 1.531136287e+20, f = -4.005391624
ecurr = -9.48, pn_right = -8.954538691e+19, pn_left = 1.497188732e+20, f = -3.976240614
ecurr = -9.47, pn_right = -8.72147144e+19, pn_left = 1.464070185e+20, f = -3.946826136
ecurr = -9.46, pn_right = -8.494084596e+19, pn_left = 1.431763165e+20, f = -3.91715153
ecurr = -9.45, pn_right = -8.272252072e+19, pn_left = 1.400250586e+20, f = -3.887220142
ecurr = -9.44, pn_right = -8.055850166e+19, pn_left = 1.369515753e+20, f = -3.857035321
ecurr = -9.43, pn_right = -7.844757536e+19, pn_left = 1.339542362e+20, f = -3.82660042
ecurr = -9.42, pn_right = -7.638855167e+19, pn_left = 1.310314489e+20, f = -3.795918795
ecurr = -9.41, pn_right = -7.43802634e+19, pn_left = 1.281816594e+20, f = -3.764993807
ecurr = -9.4, pn_right = -7.2421566e+19, pn_left = 1.254033515e+20, f = -3.733828818
ecurr = -9.39, pn_right = -7.051133726e+19, pn_left = 1.226950464e+20, f = -3.702427193
ecurr = -9.38, pn_right = -6.8648477e+19, pn_left = 1.200553026e+20, f = -3.670792302
ecurr = -9.37, pn_right = -6.683190675e+19, pn_left = 1.174827158e+20, f = -3.638927512
ecurr = -9.36, pn_right = -6.506056942e+19, pn_left = 1.149759185e+20, f = -3.606836197
ecurr = -9.35, pn_right = -6.333342903e+19, pn_left = 1.125335801e+20, f = -3.574521729
ecurr = -9.34, pn_right = -6.164947034e+19, pn_left = 1.101544065e+20, f = -3.541987483
ecurr = -9.33, pn_right = -6.000769857e+19, pn_left = 1.078371404e+20, f = -3.509236834
ecurr = -9.32, pn_right = -5.840713909e+19, pn_left = 1.055805609e+20, f = -3.47627316
ecurr = -9.31, pn_right = -5.68468371e+19, pn_left = 1.033834839e+20, f = -3.443099837
ecurr = -9.3, pn_right = -5.532585732e+19, pn_left = 1.012447622e+20, f = -3.409720242
ecurr = -9.29, pn_right = -5.384328366e+19, pn_left = 9.916328552e+19, f = -3.376137751
ecurr = -9.28, pn_right = -5.239821895e+19, pn_left = 9.713798072e+19, f = -3.342355743
ecurr = -9.27, pn_right = -5.098978462e+19, pn_left = 9.516781233e+19, f = -3.308377592
ecurr = -9.26, pn_right = -4.961712038e+19, pn_left = 9.325178289e+19, f = -3.274206675
ecurr = -9.25, pn_right = -4.827938393e+19, pn_left = 9.138893347e+19, f = -3.239846365
ecurr = -9.24, pn_right = -4.697575066e+19, pn_left = 8.95783443e+19, f = -3.205300037
ecurr = -9.23, pn_right = -4.570541335e+19, pn_left = 8.781913558e+19, f = -3.17057106
