ecurr = -0.27, pn_right = 1.026793482, pn_left = 1.835323351, f = -0.2824936634
ecurr = -0.26, pn_right = 0.8629490728, pn_left = 1.440493213, f = -0.2507308926
ecurr = -0.25, pn_right = 0.7227787995, pn_left = 1.127344598, f = -0.21866963
ecurr = -0.24, pn_right = 0.6031902901, pn_left = 0.8793861094, f = -0.1862944934
ecurr = -0.23, pn_right = 0.5014562791, pn_left = 0.6834429826, f = -0.153588334
ecurr = -0.22, pn_right = 0.4151756019, pn_left = 0.5289760521, f = -0.1205319609
ecurr = -0.21, pn_right = 0.3422379675, pn_left = 0.4075471028, f = -0.08710380864
ecurr = -0.2, pn_right = 0.2807921766, pn_left = 0.3123970187, f = -0.05327953107
ecurr = -0.19, pn_right = 0.229217478, pn_left = 0.2381114496, f = -0.01903150251
ecurr = -0.18, pn_right = 0.1860977846, pn_left = 0.180354812, f = 0.01567180215
ecurr = -0.17, pn_right = 0.1501984884, pn_left = 0.1356579474, f = 0.05086658617
ecurr = -0.175, pn_right = 0.1673162453, pn_left = 0.156561782, f = 0.03320528845
ecurr = -0.18, pn_right = 0.1860977846, pn_left = 0.180354812, f = 0.01567180215
ecurr = -0.185, pn_right = 0.206681917, pn_left = 0.2074019685, f = -0.001738902334
ecurr = -0.19, pn_right = 0.229217478, pn_left = 0.2381114496, f = -0.01903150251
ecurr = -0.1875, pn_right = 0.2176960581, pn_left = 0.2222715834, f = -0.01039968595
ecurr = -0.185, pn_right = 0.206681917, pn_left = 0.2074019685, f = -0.001738902334
ecurr = -0.1825, pn_right = 0.1961554666, pn_left = 0.1934471819, f = 0.006951402375
ecurr = -0.18375, pn_right = 0.2013589285, pn_left = 0.200313566, f = 0.002602524489
ecurr = -0.185, pn_right = 0.206681917, pn_left = 0.2074019685, f = -0.001738902334
ecurr = -0.18625, pn_right = 0.2121268178, pn_left = 0.214719031, f = -0.006072949196
ecurr = -0.185625, pn_right = 0.2093889777, pn_left = 0.2110314948, f = -0.003906843865
ecurr = -0.185, pn_right = 0.206681917, pn_left = 0.2074019685, f = -0.001738902334
ecurr = -0.184375, pn_right = 0.2040053338, pn_left = 0.2038296042, f = 0.0004308841684
ecurr = -0.18375, pn_right = 0.2013589285, pn_left = 0.200313566, f = 0.002602524489
ecurr = -0.1840625, pn_right = 0.2026783775, pn_left = 0.2020645961, f = 0.001516472045
ecurr = -0.184375, pn_right = 0.2040053338, pn_left = 0.2038296042, f = 0.0004308841684
ecurr = -0.1846875, pn_right = 0.2053398345, pn_left = 0.2056086936, f = -0.0006542402552
ecurr = -0.18453125, pn_right = 0.2046716388, pn_left = 0.2047173822, f = -0.0001117359057
ecurr = -0.184375, pn_right = 0.2040053338, pn_left = 0.2038296042, f = 0.0004308841684
ecurr = -0.184453125, pn_right = 0.2043382502, pn_left = 0.2042730524, f = 0.0001595596571
ecurr = -0.18453125, pn_right = 0.2046716388, pn_left = 0.2047173822, f = -0.0001117359057
ecurr = -0.184609375, pn_right = 0.2050055, pn_left = 0.2051625954, f = -0.0003830025374
ecurr = -0.1845703125, pn_right = 0.2048385103, pn_left = 0.2049398783, f = -0.0002473728368
ecurr = -0.18453125, pn_right = 0.2046716388, pn_left = 0.2047173822, f = -0.0001117359057
ecurr = -0.1844921875, pn_right = 0.2045048855, pn_left = 0.204495107, f = 2.390825824e-05
ecurr = -0.184453125, pn_right = 0.2043382502, pn_left = 0.2042730524, f = 0.0001595596571
ecurr = -0.1844726562, pn_right = 0.2044215531, pn_left = 0.2043840521, f = 9.173305317e-05
ecurr = -0.1844921875, pn_right = 0.2045048855, pn_left = 0.204495107, f = 2.390825824e-05
ecurr = -0.1845117187, pn_right = 0.2045882474, pn_left = 0.204606217, f = -4.391472796e-05
ecurr = -0.1845019531, pn_right = 0.2045465627, pn_left = 0.2045506551, f = -1.000346094e-05
ecurr = -0.1844921875, pn_right = 0.2045048855, pn_left = 0.204495107, f = 2.390825824e-05
ecurr = -0.1844970703, pn_right = 0.2045257232, pn_left = 0.2045228793, f = 6.952342135e-06
ecurr = -0.1845019531, pn_right = 0.2045465627, pn_left = 0.2045506551, f = -1.000346094e-05
ecurr = -0.1844995117, pn_right = 0.2045361427, pn_left = 0.2045367668, f = -1.525573532e-06
