ecurr = -14.35, pn_right = 3.592522972e+25, pn_left = -5.912994953e+25, f = -4.096372636
ecurr = -14.34, pn_right = 3.516375863e+25, pn_left = -5.91533379e+25, f = -3.931586104
ecurr = -14.33, pn_right = 3.441521328e+25, pn_left = -5.929015318e+25, f = -3.767059009
ecurr = -14.32, pn_right = 3.367949328e+25, pn_left = -5.955856027e+25, f = -3.602836747
ecurr = -14.31, pn_right = 3.295649347e+25, pn_left = -5.998149046e+25, f = -3.438963711
ecurr = -14.3, pn_right = 3.224610429e+25, pn_left = -6.058830681e+25, f = -3.275483301
ecurr = -14.29, pn_right = 3.154821207e+25, pn_left = -6.141721932e+25, f = -3.11243794
ecurr = -14.28, pn_right = 3.086269938e+25, pn_left = -6.251887533e+25, f = -2.949869082
ecurr = -14.27, pn_right = 3.018944528e+25, pn_left = -6.396185196e+25, f = -2.78781723
ecurr = -14.26, pn_right = 2.952832565e+25, pn_left = -6.58413395e+25, f = -2.626321944
ecurr = -14.25, pn_right = 2.887921341e+25, pn_left = -6.829341114e+25, f = -2.465421856
ecurr = -14.24, pn_right = 2.824197882e+25, pn_left = -7.151957527e+25, f = -2.305154682
ecurr = -14.23, pn_right = 2.761648972e+25, pn_left = -7.583143511e+25, f = -2.145557233
ecurr = -14.22, pn_right = 2.700261173e+25, pn_left = -8.173770424e+25, f = -1.986665427
ecurr = -14.21, pn_right = 2.64002085e+25, pn_left = -9.012924343e+25, f = -1.828514304
ecurr = -14.2, pn_right = 2.580914195e+25, pn_left = -1.027207182e+26, f = -1.671138032
ecurr = -14.19, pn_right = 2.522927242e+25, pn_left = -1.232889188e+26, f = -1.514569925
ecurr = -14.18, pn_right = 2.466045889e+25, pn_left = -1.621049498e+26, f = -1.35884245
ecurr = -14.17, pn_right = 2.410255918e+25, pn_left = -2.604169403e+26, f = -1.20398724
ecurr = -14.16, pn_right = 2.355543008e+25, pn_left = -9.651115314e+26, f = -1.050035107
ecurr = -14.15, pn_right = 2.301892758e+25, pn_left = 4.240202e+26, f = -0.89701605
ecurr = -14.14, pn_right = 2.249290697e+25, pn_left = 1.538938752e+26, f = -0.7449592686
ecurr = -14.13, pn_right = 2.197722301e+25, pn_left = 8.625648074e+25, f = -0.5938931729
ecurr = -14.12, pn_right = 2.147173009e+25, pn_left = 5.574323815e+25, f = -0.4438453946
ecurr = -14.11, pn_right = 2.097628236e+25, pn_left = 3.851763562e+25, f = -0.2948427982
ecurr = -14.1, pn_right = 2.049073384e+25, pn_left = 2.754820613e+25, f = -0.146911491
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422301e-05
ecurr = -14.08, pn_right = 1.954875059e+25, pn_left = 1.457856605e+25, f = 0.1456365466
ecurr = -14.085, pn_right = 1.978065275e+25, pn_left = 1.709185333e+25, f = 0.07292152632
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422304e-05
ecurr = -14.095, pn_right = 2.025162615e+25, pn_left = 2.345796625e+25, f = -0.07335552507
ecurr = -14.0925, pn_right = 2.013298097e+25, pn_left = 2.166623161e+25, f = -0.03668132825
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422306e-05
